col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16
전선-소프트,융필-빅데이터융합,,,2.15E+09,SNS빅테이터분석,,김희찬,소프트웨어학부,3.00 /3,19,21,월 수 09:00-10:15 (정보과학관 21301-김희찬),"전체학년 빅데이터융합 ,통계보험 ,스마트시스템소프트 ,소프트",2018,1
전선-소프트,융필-빅데이터융합,,,2.15E+09,빅데이터시각화 (온&오프),,이정진,정보통계보험수리학과,3.00 /3,10,25,수 10:30-11:45 (베어드홀 01523-이정진),"전체학년 통계보험,스마트시스템소프트,소프트,빅데이터융합",2018,1
전필-소프트,복필-소프트/부선-소프트/융선-정보보호융합/융선-빅데이터융합,공학주제-소프트공인증/인필-소프트공인증,,2.15E+09,자료구조,(공통-재수강),김익수,소프트웨어학부,3.00 /3 (0 ),6,39,화 19:30-20:45 (정보과학관 21302-김익수),"전체학년 소프트,빅데이터융합,정보보호융합 (대상외수강제한)(대상외수강제한)",2018,1
,,,,,,,김익수,,,,,금 09:00-10:15 (정보과학관 21302-김익수),,2018,1
전선-소프트,,,7+1교과목,5.01E+09,전공심화전문가양성교육(3),,,경력개발팀,3.00 /3,1,99,,"1,2학년 수강불가",2018,1
,,,인턴쉽,,,,,,,,,,,2018,1
전선-소프트,,,7+1교과목,5.01E+09,전공심화전문가양성교육(6),,,경력개발팀,6.00 /6,0,150,,"1,2학년 수강불가",2018,1
,,,인턴쉽,,,,,,,,,,,2018,1
전선-소프트,융필-정보보호융합,,,2.15E+09,정보보호기초,,홍승모,전자정보공학부 IT융합전공,3.00 /3,20,20,월 수 15:00-16:15 (문화관 03307-홍승모),"전체학년 정보보호융합,전자정보공학,수학,소프트",2018,1
전필-소프트,복필-소프트/부선-소프트/융선-정보보호융합,공학주제-소프트공인증/인필-소프트공인증,,2.15E+09,컴퓨터구조,(공통-재수강),김병기,소프트웨어학부,3.00 /3 (0 ),7,38,월 18:00-19:15 (정보과학관 21201-김병기),"전체학년 소프트,정보보호융합 (대상외수강제한)(대상외수강제한)",2018,1
,,,,,,,김병기,,,,,수 15:00-16:15 (정보과학관 21201-김병기),,2018,1
전기-소프트,,공학주제-소프트공인증/인필-소프트공인증,,2.15E+09,리눅스시스템관리,(가반),최형광,소프트웨어학부,3.00 /3,0,52,화 12:00-13:15 (정보과학관 21305-최형광),1학년 소프트,2018,1
,,,,,,,최형광,,,,,목 15:00-16:15 (정보과학관 21305-최형광),,2018,1
전기-소프트,,공학주제-소프트공인증/인필-소프트공인증,,2.15E+09,리눅스시스템관리,(나반),최형광,소프트웨어학부,3.00 /3,0,50,화 13:30-14:45 (정보과학관 21305-최형광),1학년 소프트,2018,1
,,,,,,,최형광,,,,,목 13:30-14:45 (정보과학관 21305-최형광),,2018,1
